Timestamp,Value
2020-02-21 09:19:06.000000,36.2
2020-02-21 09:19:11.000000,36.3
2020-02-21 09:19:16.000000,36.1
2020-02-21 09:19:21.000000,36.4
2020-02-21 09:19:26.000000,36.5
2020-02-21 09:19:31.000000,36.3
2020-02-21 09:19:36.000000,36.2
2020-02-21 09:19:41.000000,36.6
2020-02-21 09:19:46.000000,36.7
2020-02-21 09:19:51.000000,36.4
2020-02-21 09:19:56.000000,36.3
2020-02-21 09:20:01.000000,36.5
2020-02-21 09:20:06.000000,36.8
2020-02-21 09:20:11.000000,36.9
2020-02-21 09:20:16.000000,36.6
2020-02-21 09:20:21.000000,36.4
2020-02-21 09:20:26.000000,36.2
2020-02-21 09:20:31.000000,36.1
2020-02-21 09:20:36.000000,36.3
2020-02-21 09:20:41.000000,36.5
