Timestamp,Value
2020-02-21 09:19:06.000000,72.5
2020-02-21 09:19:07.000000,73.1
2020-02-21 09:19:08.000000,72.8
2020-02-21 09:19:09.000000,74.2
2020-02-21 09:19:10.000000,73.6
2020-02-21 09:19:11.000000,72.9
2020-02-21 09:19:12.000000,75.1
2020-02-21 09:19:13.000000,74.5
2020-02-21 09:19:14.000000,73.3
2020-02-21 09:19:15.000000,72.7
2020-02-21 09:19:16.000000,74.8
2020-02-21 09:19:17.000000,75.3
2020-02-21 09:19:18.000000,73.9
2020-02-21 09:19:19.000000,72.2
2020-02-21 09:19:20.000000,74.6
2020-02-21 09:19:21.000000,75.7
2020-02-21 09:19:22.000000,74.1
2020-02-21 09:19:23.000000,73.4
2020-02-21 09:19:24.000000,72.8
2020-02-21 09:19:25.000000,74.9
