Timestamp,Value
2020-02-21 09:19:06.000000,5.2
2020-02-21 09:19:07.000000,5.3
2020-02-21 09:19:08.000000,5.1
2020-02-21 09:19:09.000000,5.4
2020-02-21 09:19:10.000000,5.2
2020-02-21 09:19:11.000000,5.6
2020-02-21 09:19:12.000000,5.8
2020-02-21 09:19:13.000000,5.9
2020-02-21 09:19:14.000000,6.1
2020-02-21 09:19:15.000000,6.3
2020-02-21 09:19:16.000000,6.5
2020-02-21 09:19:17.000000,6.4
2020-02-21 09:19:18.000000,6.2
2020-02-21 09:19:19.000000,5.9
2020-02-21 09:19:20.000000,5.7
2020-02-21 09:19:21.000000,5.5
2020-02-21 09:19:22.000000,5.3
2020-02-21 09:19:23.000000,5.1
2020-02-21 09:19:24.000000,4.9
2020-02-21 09:19:25.000000,4.8
